eng,darija
curtain,5amia
remote control,telekomond
light,do
carpet,zerbia
broom,chettaba
pillow,mkhadda
mirror,meraya
comb,machta
towel,fouta
soap,sabona
fridge,tellaja
oven,farran
hammer,mtar9a
nail,masmar
sewer,serb
crowdedness,zz7am
mess,rwena
wheel,rweda
driver s license,ppirmi
visit,ziara
tears,dmo3
people,nnas
life,hayat
youth,chabaab
women,3ialat
twins,twama
wedding,3ers
dowry,sdaa9
fiancee,5atyba
bride,3rosa
divorce,tala9
civilization,hadara
tribe,qbila
identity,howyya
statement,tasri7
decision,qarar
petition,3arida
initiative,mobadara
plan,5otta
choice,khtyar
friendship,sadaaqa
charity,sadaqa
tragedy,mosyba
disaster,kaarita
traitor,khaa2in
terrorism,irhaab
necessity,darora
talent,mohiba
sanction,3o9ouba
possibility,imkaania
probability,i7timal
mentality,39lya
panic,khel3a
credibility,misdaa9ia
reputation,soum3a
morale,m3nawyat
distortion,tchwyh
benefit,mzia
benefit,fa2ida
quantity,kimmyya
trap,f55
coordination,tansi9
victim,da7ya
arrest,3tiqal
confession,i3tiraf
trial,mo7aakama
witness,chaahid
proof,dalyl
innocent,bary2
theft,chefra
aggression,grissaj
robbery,srqa
rape,ightisab
murder,qtila
bribery,rechwa
fraud,7tial
sentence,7oukm
hanging,chen9
chain,sensla
government,7okouma
politics,siasa
party,hizb
illegal immigrant,7errag
colonization,isti3mar
mayor,3oumda
prince,amyr
delegation,wefd
association,jm3ya
slogan,chi3aar
corruption,fassad
security,aman
safety,salaama
equality,mosaawaat
independence,isti9lal
sovereignty,siada
tolerance,tasaamo7
coexistence,ta3ayoch
freedom,7orrya
dignity,karaama
conscience,damyr
principle,mabda2
morals,a5la9
standard,mi3iar
insult,m3yor
repression,9em3
discrimination,tamyiz
torture,t3dyb
massacre,mejzara
massacre,medba7a
genocide,ibaada
prostitution,da3aara
harassment,neggan
slavery,3obodia
coup,in9ilab
conflict,sera3
resistance,mo9aawama
occupation,i7tilal
sword,syf
baton,hrawa
nuclear,nnawani
bomb,9nboula
explosion,tfergui3
suicide,inti7ar
martyr,chhyd
grave,9ber
tank,debbaba
loss,khasaara
surrender,istislam
time,wa9t
course,dars
information,ma3loma
money,flos
thing,haja
hand,yd
research,be7t
office,mktb
health,si77a
mother,om
question,ce2al
view,mnder
god,rb
father,2ab
centre,mrkz
act,fe3la
moment,l7da
report,ta9rir
mind,39l
century,9ern
trade,tbdal
street,zn9a
rate,n9ta
role,dour
east,shar9
practice,tadrib
paper,9a3it
quality,jaouda
voice,sout
stage,mar7ala
situation,mo9if
secretary,secritira
art,fn
may,chher khamsa
issue,mas2ala
project,mchrou3
game,l3ba
knowledge,m3rifa
front,9oddam
hair,ch3ar
bill,mchrou3 9anoun
force,s77a
attention,3endak
son,weld
sea,b7ar
property,milk
behaviour,tasarrouf
cup,ka2s
scheme,mokhatat
pressure,dght
sun,shms
product,mantouj
park,jrda
look,mdher
deal,saf9a
new,jadid
commission,j3ba
region,minta9a
doubt,chk
blood,dmm
increase,ziyada
eye,3ayn
campaign,7emla
piece,piasa
disease,mard
mouth,fmm
teacher,stad
teacher,mo3allim
baby,tribia
miss,2anisa
character,chkhsiya
library,maktaba
stone,7ajra
effort,majhoud
attack,hojoum
plant,nabta
quarter,rb3
gold,dhb
wood,khchb
sister,kht
corner,9ent
legislation,tachri3
hill,kodia
assessment,ta9dir
scene,mashhad
battle,ma3raka
bridge,9entra
bridge,guntra
background,khalfia
shape,shakl
detail,tfsil
user,most3mil
seat,m93ad
fig.,kermous
smile,d7ka
player,le33ab
threat,thdid
element,jaw
notice,tanbih
file,milef
castle,9al3a
individual,ferd
emphasis,tshdid
audience,jomhor
feature,myza
touch,lamsa
assembly,mjliss
appearance,mdhar
branch,3orsh
neck,3on9
conversation,7tit
hell,jahannam
entry,mdkhal
gentleman,ssiyd
coal,fakher
investigation,ta79i9
total,majmou3
tradition,t9lid
treaty,mo3ahada
desire,raghba
palace,9sr
partner,charik
reduction,takhfid
definition,ta3rif
breath,nfs
creation,khl9
row,saf
silver,no9ra
explanation,tafsir
green,khder
run,jrya
drink,mchrob
metal,m3dn
factory,ma3mal
hole,7ofra
session,jlsa
appointment,mo3id
accommodation,skna
nation,2omma
northern,shamali
interpretation,terjama
interpretation,t2wil
vehicle,merkaba
improvement,t7sin
meal,wajba
sheet,war9a
square,morabba3
brown,9ahwi
revenue,madkhol
shock,sdma
nose,mankher
artist,fannan
song,oghnia
formation,takwin
ice,talj
ref,merji3
bird,tir
autumn,kharif
cat,mesh
agriculture,fila7a
concentration,trkiz
editor,ra2is t7rir
stress,tonsio
white,byad
walk,mchya
bush,3oshb
bath,7ammam
decade,3achr snin
sugar,sokkar
clause,shart
notion,mafhoum
licence,rkhsa
expansion,twsi3
extension,tousi3
uncle,3em
fun,nashat
circumstance,derf
abuse,ta3ssof
abuse,7ogra
limit,7d
situation,ma9aam
guarantee,garanti
ladder,slloum
news,a5bar
newspaper,journal
explosion,infijar
gathering,tajemmo3
meeting,ljtima3
size,9dd
shape,chkl
drawer,mjrr
signal,sinial
card,carta
comment,ta3li9
cable,cable
power plug,prise
charger,charjor
internet,intirnit
audio,audio
facebook,fisbouk
wireless,bla selk
wire,selk
battery,batterie
button,bouton
remote control,telecomand
netflix,netflix
tv receiver,parabole
headphones,liziat
headphones,lizikotour
hardware,mataryan
cell phone,portable
appointment,mou3id
alarm,revey
addicted,moudmin
stupid,ghaby
stupid,mkallakh
stupid,mjellej
big,kabir
small,saghir
broken,mhrrs
bald,sla3
thin,rqiq
tall,twel
short,9ssir
ugly,khayeb
crazy,hbil
crazy,msatti
full,aamr
old,qdim
old,chaarf
hard,9aas7
easy,sahl
late,m3ttel
real,haqiqia
simple,basit
complex,m3a99ad
slow,tqil
happy,nachet
clean,nqi
fair,3adil
rich,ghani
poor,faqir
natural,taby3i
separate,mafrou9
famous,mechhour
glad,far7an
original,dorijin
afraid,5ayf
huge,da5m
cheerful,zaahi
satisfied,raadi
regretful,naadm
miserable,meskin
comfortable,merta7
busy,mchghol
worried,mchtoun
nervous,m3esseb
troublemaker,mochaaghib
angry,ghadban
embarrassed,mreg
shy,7echman
calm,calm
lonely,wa7yd
amazed,mnbahar
astonished,msteghreb
confused,mrewwen
hesitant,mtradded
tired,3eyyan
greedy,tamma3
selfish,anaani
generous,s5i
stingy,se9ram
stingy,ba5il
kind,drayaf
patient,sabbar
polite,m2ddeb
lazy,me3gaz
hardworking,mojtahid
brave,chojaa3
brave,zaa3em
curious,fdouli
arrogant,mghror
humble,metwade3
ignorant,jaahil
wise,hakim
genius,naabigha
liar,keddab
betrayer,gheddar
swindler,nessab
naive,nia
optimistic,mtfa2el
pessimistic,mtcha2em
funny,comic
orphan,yatim
pregnant,hamla
realistic,wa9i3i
disgusting,tay3yyf
contagious,kay3adi
deaf,smek
mute,zizon
paralyzed,mchallal
handicapped,mo3a9
sterile,3ager
unknown,mjhol
acceptable,ma9boul
biased,men7az
neutral,mo7aayid
clear,waade7
criminal,moujrim
murderer,9ettal
other,khrin
local,ma7alli
social,jtimaa3i
important,mohim
high,3ali
general,3amm
possible,moumkin
political,siasi
public,3omomi
available,mojod
economic,i9tisadi
only,wa7iid
common,chaa2i3
single,3azib
private,khaass
personal,chekhsi
various,mtnowwe3
wrong,khati2
current,7ali
legal,9anouni
previous,sabi9
industrial,sina3i
successful,naj7
military,7arbi
aware,waa3i
effective,f33aal
dark,mdellem
western,gherbi
cold,baard
responsible,ms2ol
complete,kaaml
essential,mohimm
environmental,bi2i
regional,jihawi
commercial,tijaari
official,rasmi
ordinary,3aadi
excellent,momtaaz
religious,dyni
cultural,ta9aafi
conservative,mo7aafid
warm,daafi
suitable,molaa2im
lovely,m7boub
overall,ijmaali
democratic,dimou9raati
eastern,cher9i
quiet,haadi2
educational,t3liimi
double,mdoubl
southern,janobi
perfect,msrou3
upper,fo9ani
apparent,bayen
subject,khaad3
tiny,sghiwwr
bright,mdoowi
moral,akhlaa9i
alternative,badiil
brief,mkhtaser
capable,9add
broad,mtiss3
wonderful,raa2i3
minor,9aasir
rare,nadir
terrible,rahiib
crucial,masiiri
contemporary,mo3aasir
odd,fchkl
extensive,chamil
agricultural,ziraa3i
lucky,mzhaar
voluntary,tatawwo3i
temporary,mow99at
competitive,tanaafosi
radical,jedri
sensitive,7essas
outside,khaarij
flat,msetta7
emotional,3atifi
false,khaate2
administrative,idari
silent,skkoti
maximum,l7edd
wet,faazg
solid,9ase7
brilliant,mt2elle9
electronic,iliktroni
wooden,tlkhchab
firm,sarim
supreme,sami
extreme,a9sa
widespread,mentacher
catholic,catoliki
classical,classiki
sweet,7low
distinct,mkhtalef
consistent,mtnase9
stable,msta9arr
minimum,a9all 7aja
dominant,msiter
constitutional,dostori
mad,ghedban
anxious,mhmoum
live,7ayy
musical,mosi9i
extraordinary,faw9 l3ada
extraordinary,khar9 ll3ada
honest,nazih
unemployed,chomor
unemployed,mchomr
gentle,driyef
violent,3aniif
structural,haykali
round,mdowwer
dirty,mmossekh
illegal,ghayr 9aanouni
inadequate,mamnasebch
tight,mzayyar
asleep,na3es
clever,dky
liable,mes2oul
mutual,motabadal
marginal,hamichi
exact,bddebt
presidential,ri2asi
urgent,3aajil
exclusive,7esri
unexpected,mamto99e3ch
marine,be7ri
biological,biologi
capitalist,ra2smaali
uncertain,mamty99ench
unhappy,m9alla9
just,hir
parallel,mwazi
preliminary,iftitat7i
nasty,kay3yyf
concrete,melmous
compulsory,ilzaami
systematic,mnhaji
objective,modo3i
advisory,stichari
primitive,bidaa2i
ideological,idyoloji
precious,tamin
precious,ghaali
artistic,fenni
magnetic,mighnaatisi
loud,mjehhed
mature,naadj
legitimate,char3i
well-known,m3rof
sympathetic,mt3atef
favorable,mla2m
mid,west
representative,tmtili
coastal,sa7ili
enthusiastic,met7emmes
eager,7aris
symbolic,ramzi
cruel,we7chi
inherent,mt2ssal
suspicious,mchboh
selective,nti9aa2i
intermediate,mtwesset
mysterious,ghamid
philosophical,falsafi
fortunate,m7dod
liquid,saa2il
solar,chmsy
mathematical,ryadyaati
defensive,difa3i
architectural,mi3mari
inappropriate,ghayr monasib
circular,daa2iri
divine,ilaahi
unacceptable,mam9boulch
integral,mtkaaml
intact,mam9yosch
amateur,hawi
forward,gddaami
forward,9ddaami
invisible,mabayench
cognitive,idraki
tragic,m2saawi
regulatory,tandiimi
decisive,7asim
awake,faye9
adverse,3eksi
resident,saakn
resident,mo9im
compatible,mtwaaf9
aesthetic,jamali
subjective,machi mawdo3i
fashionable,mstyli
disastrous,kariti
autonomous,msta9ell
autonomous,otomatik
foolish,7me9
colorful,mlwwn
uniform,mntadem
glorious,majid
delightful,kayfrr7
weird,ghariib
intimate,7amiimi
bizarre,3ajiib
ministerial,wizaari
supplementary,tkmiili
geological,jyolouji
constructive,bnna2
unreasonable,ghayr manti9i
behavioral,soloki
optional,khtiari
rude,mam2eddebch
rude,mamrebbich
bourgeois,bourjwazi
instrumental,mosahim
terminal,akhiir
passionate,mt7mms
tense,mtwtter
virtual,ftiraadi
interactive,tafa3oli
nominal,chekli
talented,mohoub
incapable,ma9adrch
colonial,sti3maai
sticky,kaytlsse9
sore,kaydrr
deadly,kay9tl
surgical,jiraa7i
destructive,kayferchekh
bilateral,tona2i
rotten,faasd
rotten,m3fon
reluctant,m3ard
applicable,kayttebbe9
passive,kasol
blond,chhb
imminent,drok
scorner,mserhet
peripheral,hamichi
offensive,hojomi
mighty,jbbaar
uneasy,mrwwen
infinite,laanihaa2i
open,meftou7
closed,sadd
closed,msdoud
open,m7lol
wrong,ghaalet
different,mbddl
justified,mbrrer
engaged,mrtabet
inspiring,molhim
sparse,mchettat
mighty,3adym
beardy,bol7ya
extra,zaid
miraculous,khaari9
exceptional,istitna2i
french,fransaoui
spanish,sbelioni
arab,3arbi
hidden,mkhebbi
sure,mtye99en
worry,t9li9a
annoyance,tberzit
acceptance,9obol
courage,chajaa3a
confidence,tti9a
curiosity,fdol
depression,ka2aba
ecstasy,nechwa
fear,5ouf
greed,tama3
enthusiasm,hamas
happiness,saaada
hatred,karahia
envy,hasad
lust,chahwa
love,hobb
joy,farah
jealousy,ghyra
humiliation,ddell
rejection,rafd
pride,fa5r
pity,chafaqa
nostalgia,hanin
shyness,7echma
shock,sadma
shame,3aar
sadness,hozn
suffering,mo3aanaat
obsession,waswass
grief,fa9sa
ambition,tomo7
feeling,cho3or
emotion,3aatifa
number,raqm
zero,zero
one,wa7d
two,joj
four,reb3a
five,5msa
six,seta
seven,sab3a
eight,tmenia
nine,ts3od
ten,3achra
eleven,hdach
thirteen,teltach
fourteen,rba3tach
fifteen,5mstach
sixteen,setach
seventeen,sbe3tach
eighteen,tmentach
nineteen,tsa3tach
twenty,3achrin
twenty one,wahd w 3chrin
twenty two,tnayn w 3chrin
twenty three,tlata w 3chrin
twenty four,rb3a w 3chrin
twenty five,khmsa w 3chrin
twenty six,stta w 3chrin
twenty seven,sb3a w 3chrin
twenty eight,tmnya w 3chrin
twenty nine,ts3oud w 3chrin
forty,rab3in
fifty,5amsin
sixty,settin
seventy,seb3in
eighty,tamanin
ninety,tes3in
ninety one,wahd w ts3in
ninety two,tnayn w ts3in
ninety three,tlata w ts3in
ninety four,rb3a w ts3in
ninety five,khmsa w ts3in
ninety six,stta w ts3in
ninety seven,sb3a w ts3in
ninety eight,tmnya w ts3in
ninety nine,ts3oud w ts3in
hundred,mya
million,melyoun
billion,malyar
and,ou
first,lowwl
fourth,rrabe3
fifth,lkhames
sixth,ssades
seventh,ssabe3
eighth,ttamen
ninth,ttase3
tenth,l3acher
last,llkhar
one-third,ttolout
one-fourth,rrobou3
one-fifth,lkhomous
one-sixth,ssodous
one-eighth,ttomoun
one-tenth,l3ochour
clothes,7wayej
ring,5atm
shirt,qamija
pants,serwal
cap,kasketa
shoe,sebbat
socks,t9acher
shorts,short
coat,kabbot
hat,tarbouch
jacket,jakita
dress,kaswa
suit,koustim
pajamas,pyjama
diapers,likoch
belt,samta
button,sadfa
pocket,jayb
earring,twaneg
bracelet,gourmit
wallet,bztam
umbrella,mdall
skullcap,taguia
football shirt,toni
jellaba,jllaba
blgha,belgha
drraia,drra3ia
jabador,jabadour
qaftan,9eftan
takchita,tekchita
cape,selham
vegetables,khodra
onion,basla
tomato,matecha
pea,jlbana
eggplant,denjal
pumpkin,gr3a
cabbage,mkowwer
potato,batata
cucumber,khiar
carrot,5izo
garlic,ttouma
cauliflower,chiflor
artichokes,9ou9
cardoon,kherchouf
pepper,felfla
radishes,fjel
beans,lobia
fennel,besbas
lettuce,khos
turnip,left
coriander,9azbour
parsley,m3adnous
olives,zitoune
celery,krafes
courgette,korjit
fruits,ddissir
apple,tfah
pear,bou3wid
avocado,avoca
grape,3anb
fig,karmous
orange,limon
lemon,hamd
pomegranate,rmman
watermelon,dela7
kiwi,kioui
cherry,7eb lemlouk
melon,swihla
banana,banane
apricot,mechmach
mango,mangue
mandarin orange,mandarin
dates,tmar
plums,ber9o9
food,lmakla
lenses,l3ds
jujube,nbag
oak,ballot
almonds,louz
mint,naanaa
raisins,zzbib
eggs,bayd
egg,bayda
butter,zabda
chewing gum,maska
salt,mel7a
oil,zzit
chickpeas,7ammas
soup,hrira
yeast,5mira
cheese,fromaj
pasta,che3ria
desserts,dicir
ice cream,laglass
spices,3atria
wheat,gam7
cinnamon,9arfa
cumin,kmmoun
cloves,9ronfel
saffron,z3efran
thyme,ze3tr
milk,7alib
breakfast,ftour
ingredients,maqadir
hunger,jou3
thirst,3tech
appetite,chahiyya
grilled,mechwi
fried,me9li
roasted,m7ammar
crunchy,mgermel
delicious,bnyn
dry,nachef
sweet,7lou
sour,7amed
burned,m7rog
vinegar,khell
french fries,btatafrit
flavor,madaq
tagine,tagine
tanjia,tnjia
bastila,bestila
mhancha,m7enncha
faqqas,fe99as
kaab ghzal,k3b ghzal
sellou,sllou
briwat,briouat
chebbakia,chebbakia
ghriba,ghoriba
qrichlat,qrichlat
razzat el cadi,razzat l9adi
money,ll3a9a
investment,istitmar
capital,ras lmal
rent,lkra
economy,9tissad
seller,beyya3
buyer,chray
market,souq
dirham,drhm
union,iti7ad
monopoly,htikar
reserve,i7tiat
currency,3oumla
profit,rrba7
crisis,criz
consult,istachar
stability,isti9rar
consumption,stihlak
tourist,saih
commerce,ttijara
bankruptcy,fayyit
international,daouli
international,aalami
weak,da3if
product,mentouj
stock exchange,boursa
insurance,lassourans
storage,takhzin
planning,takhtit
service,serbis
plan,blane
support,dda3m
salary,chahria
drug dealer,beznas
industry,sinaa3a
agriculture,ziraa3a
fishing,sseyd
funding,tamwil
resignation,isti9ala
retirement,ta9aa3od
income,medkhoul
project,machrou3
wealth,ttrwa
amount,meblegh
liquidity,soyola
inheritance,lwart
import,stewred
export,seder
deposit,tasbi9
deficit,3ejz
diversification,tenwi3
deflation,nkimach
interest,lfayda
soccer,koura
boxing,boux
shirt,ttouni
gloves,lligat
gym,lassal
bodybuilding,le7did
sports commentator,mo3alli9
hobby,hiwaia
goalkeeper,gol
referee,hakam
coach,modarrib
win,rba7
lose,5sar
a tie,ta3adol
swimming,3ouman
cheater,ghchchach
party,7afla
race,sibaq
league,lbotola
basketball,basket
cup,kass
world cup,kas l3alam
rugby,rrigbi
chess,chtranj
color,lawn
red,7mer
green,5dr
blue,zra9
white,byad
black,k7al
pink,werdi
purple,9o9i
yellow,sfar
maroon,lmaro
beige,beige
gold,dehbi
army green,khezzi
dark,maghlou9
second,thania
minute,daqiqa
day,youm
today,liom
tomorrow,ghedda
the day before yesterday,wallbare7
the day after tomorrow,ba3d ghdda
week,semana
month,chhar
monday,ttnin
tuesday,ttlat
wednesday,larba3
thursday,l5miss
friday,jam3a
saturday,ssbt
sunday,l7ed
weekend,lwikand
january,yanayr
february,fibrayer
july,youlyouz
october,oktobr
december,doujanbir
january,chhar wahd
february,chhar jouj
march,chhar tlata
april,chhar rb3a
may,chhar khmsa
june,chhar stta
july,chhar sb3a
august,chhar tmnia
september,chhar ts3oud
october,chhar 3chra
november,chhar 7dach
december,chhar tnach
present,7ader
past,maadi
quarter to,llaroub
five past,o9sem
ten past,o9smayn
quarter past,orb3
half past,oness
thirty five past,osb39sam
twenty to,9ll tolot
ten to,9ll9smayn
five to,9ll9sm
since,men
night,llil
morning,sbah
evening,aachia
midday,wstnhar
period,fatra
occasion,mounasaba
half an hour,nss sa3a
quarter of an hour,robo3 sa3a
twenty minutes,tolot sa3a
in front of,godam
behind,moura
on,foug
under,taht
about,aala
after,be3d
against,dadd
at,fi
because of,bsabab
below,lt7t
beside,hda
by,bi
by means of,b wasitat
during,f w9t
except,ma 3ada
to,li
inside,daa5l
outside,5aarj
regarding,bnisba
toward,f tijah
with,maa
because,7int
allergy,hassasia
asthma,dde9a
cancer,mard khayb
autism,taw77od
varicella,bochwika
wound,jr7
vomit,te9ya
medication,ddwa
stitch,ghorza
crutch,3okkaz
anesthetic,benj
autopsy,tachri7
health,si77a
sneeze,3etsa
cough,ka7ba
cell,khaliya
eczema,lgzima
epilepsy,ssara3
plague,ta3on
rheumatism,rromatizm
fever,s5ana
itching,7ekka
pus,gi7
inflammation,iltihab
piles,lbbasr
constipation,l9bt
obesity,ghold
insanity,l7ma9
abortion,ijhad
acne,7ebb chbab
headache,alam d rass
fractured,mharess
fracture,tehrisa
irritable bowel syndrome,bomzwi
rose,warda
palm tree,nakhla
trees,chjer
willow,sefsaf
branch,aarch
seed,zarri3a
root,jder
donkey,himar
lion,sbaa
cock,farouj
tiger,nmar
hyena,dbaa
fish,houte
turtle,fakroun
snail,babbouch
mule,bghal
horse,3aoud
sheep,5rof
sheep,hewli
sheep,na3ja
goat,me3za
calf,3jal
pig,hallouf
monkey,qard
camel,jmel
dolphin,dalfine
fox,ta3lab
cow,begra
rabbit,qnia
bird,ter
lizard,tiqlit
parrot,babaghyo
duck,betta
bee,ne7la
stork,belarj
bat,5ofach
snake,7anch
scorpion,3garba
fly,dbana
flies,dban
bull,thor
lizard,bobriss
peafowl,tawous
cockroach,srra9 zit
louses,gmal
beak,men9ar
rhinoceros,wahid lqarn
leopard,fehd
koala,kowala
always,da2iman
soon,qaryban
early,barki
perhaps,imken
upstairs,lfog
later,mn be3d
almost,te9riban
sometimes,be3d lmerrat
quickly,dghia
quickly,bzzarba
literally,7erfian
daily,yawmyyan
recently,mo255aran
together,mejmou3in
again,3awdtani
unfortunately,lilasaf
very,bezzaf
simply,bibasata
generally,3amatan
actually,fel7a9i9a
rather,bl a7raa
already,sabiqan
directly,direct
else,akher
easily,bsouhoula
eventually,flekher
currently,7aalian
extremely,bezaf
constantly,bistimrar
specifically,khassatan
ahead,lgeddam
immediately,felblasa
relatively,nisbian
fairly,b l3adl
completely,bl kamil
seriously,belm39oul
nearly,t9ryba
carefully,bchwyya
equally,gd gd
necessarily,bdarora
personally,chkhsian
regularly,b ntidam
basically,fel asas
effectively,fi3liyyan
initially,f lbdya
mainly,3l3omom
twice,jouj mrrat
successfully,binaja7
automatically,otomatikian
blackboard,sbora
exam,mtihan
notebook,daftar
school,madrassa
faculty,la fac
sciences,3olom
writing,ktaba
computing,hsab
session,hissa
page,sef7a
width,3erd
topic,mawdou3
letter,7erf
experience,tejriba
scissors,m9ess
specialization,takhassos
analysis,ta7lil
exercise,temrin
presence,hodour
divided,m9som
angle,zawya
institute,ma3had
pilgrimage,7ejj
mosque,jame3
jews,lihod
afterlife,lakhira
religion,ddine
ablution,wodou2
theory of islamic law,fiqh
interpretation of islamic law,fetwa
good,5ayr
resurrection,9yama
sin,danb
noon prayer,doher
afternoon prayer,3aser
sunset prayer,lmoghrab
christ,masih
god,lah
muslim,moslim
minaret,sam3a
prayer rug,zerbia t ssla
hand,idd
nose,mnkhr
lung,riya
kidney,kelwa
stomach,ma3da
intestine,msaran
ear,wden
skull,jmjouma
beard,la7ya
face,wjah
lips,chwareb
tongue,lissan
neck,3eng
shoulder,ktaf
cheek,7enk
forehead,jebha
tonsils,hlaqem
elbow,marfa9
abdomen,karch
back,dher
rib,del3a
blood,dam
vein,3er9
backbone,3amod fi9ari
hearing,ssam3
smell,chchamm
touch,llams
breathing,tanaffos
to burp,tgarra3
to yawn,tfewweh
to snore,chkhar
to comb,mchat
tattoo,wcham
him,howa
her,hya
them,houma
this,hadchi
when,we9tach
more,ktar
someone,chi7ed
his,dialou
her,dialha
their,dialhom
his,diawlou
her,diawlha
their,diawlhom
music,mosi9a
art,fnn
theater,masrah
photo,taswira
author,mo2lif
sculpture,ne7t
drum,tbal
tone,naghma
candle,chem3a
vibration,tz3zi3
rhythm,iqa3
impression,ta2thir
supervising,te2tir
expression,ta3bir
symmetry,tamathoul
line,khett
comedy,comedia
historical,tari5i
popular,cha3bi
series,mouselsal
channel,9anaat
singer,moghanni
qanun,9aanon
my daughter,banti
my son,weldi
my brother,khoya
my uncle,3mmi
my aunt,3mmti
my cousin,wld 3mmi
my cousin,wld 3mmti
my cousin,bnt 3mmi
my cousin,bnt 3mmti
wife,lamra
husband,rrajal
married,mjawwej
married,mjawweja
single,3ezri
grandchild,7afid
grandfather,jadd
grandmother,jadda
continent,qaarra
country,dola
algeria,ljazayr
japan,jjapon
united kingdom,ingliz
belgium,baljika
egypt,mesr
fez,fes
meknes,meknas
oujda,ouajda
tetouan,tetwan
mohammedia,mo7mmedia
khouribga,khoribga
casablanca,dar bida
marrakech,mrrakach
el jadida,jjdida
beni mellal,bni mellal
dar bouazza,darbo3zza
settat,stat
berrechid,brchid
khemisset,khomisat
inezgane,inezgane
ksar el kabir,9sar lkbir
larache,laaraich
guelmim,guelmim
khenifra,khenifra
berkane,berkan
bouskoura,bouskoura
fqih ben saleh,lf9ih ben sale7
dcheira,dchyra
oued zem,ouad zem
kalaa sraghna,9al3a tsraghna
guercif,garsif
oulad teima,ouled teima
ben guerir,bengrir
lqliaa,la9li3a
sefrou,sefrou
essaouira,souira
fnideq,fnid9
sidi kacem,sidi 9asem
ouarzazate,ouerzazat
youssoufia,yosofia
lahraouyine,lahrawiyin
ain harrouda,3ayn 7errouda
benslimane,benslimane
al houceima,l7ousayma
beni ansar,beni nsar
mdiq,lmdyeq
sidi bennour,sidi benour
post office,lbosta
moon,qamar
anywhere,finamma
pharmacy,frmasyan
east,char9
region,menta9a
station,ma7etta
square,saaha
coffee shop,9ehwa
hotel,otel
sidewalk,tritouar
direction,ttijah
right,liman
left,lissar
area,misaha
barber,7ajjam
barber,7alla9
butcher,gazzar
nurse,farmlia
peasant,falla7
lawyer,mohami
mechanic,mecanician
photographer,moswir
waiter,sarbay
waitress,sarbaya
tailor,5ayyat
shoemaker,5rraz
enter,dkhal
go out,khrej
understand,fham
explain,chre7
teach,qrra
hear,sma3
smell,chmm
ascend,tle3
take off,slat
clean,msah
exhaust,tsa5sa5
laugh,d7ak
have,3endo
think,fkkar
call,3eyyet
need,khess
feel,hass
put,7at
like,3jab
tell,5br
help,aawen
prepare,wajjad
try,hawel
ask,sawwel
remember,tfakkar
show,biyyen
play,l3ab
run,jarra
cut,qattaa
talk,hdar
thank,chkor
follow,tba3
learn,t3ellem
decide,9arrer
enjoy,nchet
watch,tfarraj
lose,khser
raise,kabber
imagine,tkhayel
break,harres
die,toueffa
spread,nchar
drive,saag
lie,kdab
argue,tqajeh
remove,7ayyed
fill,3emmar
attend,7der
miss,zgal
express,3bbar
concentrate,rakkaz
push,dfaa
collect,jma3
escape,hrab
welcome,r77ab
rely,3awwel
repeat,3awad
plan,5attet
confirm,akked
marry,tjawwaj
adopt,tbanna
ignore,tjahel
define,3erref
demonstrate,barhan
persuade,9na3
guess,9alle3
vote,sawwat
deny,nkar
hide,khabba
succeed,nja7
demand,tlab
recognize,aataref
count,hseb
sing,ghanna
justify,barrar
dare,z3am
judge,7kam
wash,ghsal
employ,5ddem
withdraw,nsa7ab
borrow,tsallaf
permit,sma7
forgive,sameh
propose,9tara7
celebrate,7tafal
waste,dyya3
disappear,ghbar
complain,nguer
catch,gbad
stop,hbas
note,9eyyed
used to,wllaf
burn,7rag
burn,7ra9
exploit,staghall
warn,7addar
announce,3lan
evaluate,khtabar
breathe,tnaffas
free,7arrer
smile,btassem
dig,7far
respect,7tarem
threaten,haddad
store,khzen
organize,naddam
shine,nwwar
swear,hlef
dream,7lam
absorb,srat
anticipate,staba9
accuse,ttahem
arrange,ratteb
arrest,3ta9al
bark,nbe7
differ,5talef
push,dfa3
return,rja3
know,3raf
describe,wsaf
translate,terjem
promise,w3d
search,9allab
live,skan
pay,khallas
use,stakhdam
fail,fchal
insult,sabb
expose,fde7
apologize,3tadar
hug,3nneg
get used,t3awwad
postpone,2ajjal
cooperate,t3aawan
exchange,tbaadl
boycott,9aata3
volunteer,tatawwa3
avoid,tjenneb
neglect,hmal
bury,dfan
defeat,ghlab
can,gedd
ensure,dman
offer,3rad
support,d3am
speak,hdar
form,kwwn
reduce,n99s
save,n9ad
require,ttellab
achieve,hqqeq
deal,t3aamel
face,twajeh
pick,khtaar
occur,w9a3
maintain,gaabel
end,kammel
establish,asses
enable,makken
worry,tchtan
cope,t29lm
extend,mdded
vary,5talf
hang,3ll9
report,ballagh
contribute,saahm
compete,tnafes
resist,9awm
tackle,3alej
communicate,7awer
accommodate,sto3b
exclude,steb3ad
upset,t9alle9
damage,5esser
paint,sbagh
deserve,stahal
head,tre22s
practice,maares
incorporate,jssed
stimulate,7effez
stress,twatter
interfere,tdkhl
facilitate,sehhel
tie,3ged
dominate,sytr
design,smmem
yield,telle3
delay,ajjel
clarify,wdd7
copy,n9ol
copy,nse5
accompany,raf9
fund,mwwl
steal,sra9
hurry,zrab
slow,tbaat2
conform,tab9
balance,waazn
extract,stakhrej
resume,sta2nef
confront,waajh
double,double
squeeze,bjagh
harm,ada
coincide,tzamen
warm,s55en
